a_物件名,b_住所,c_アクセス,d_築年数,e_部屋の階数,f_賃料,g_管理費,h_敷金,i_礼金,j_間取り,k_専有面積
ピュアーズ０６　Ｂ,島根県出雲市斐川町併川, ＪＲ山陰本線/直江駅 歩24分   , 築18年 2階建 ,             1階,4.45万円,2750円,8.9万円,-,1K,29.18m2
ピュアーズ０６　Ｂ,島根県出雲市斐川町併川, ＪＲ山陰本線/直江駅 歩24分   , 築18年 2階建 ,             2階,4.65万円,2550円,9.3万円,-,1DK,34.47m2
ピュアーズ０６　Ｂ,島根県出雲市斐川町併川, ＪＲ山陰本線/直江駅 歩24分   , 築18年 2階建 ,             2階,4.75万円,2550円,9.5万円,-,1DK,34.47m2
ピュアーズ０６　Ｂ,島根県出雲市斐川町併川, ＪＲ山陰本線/直江駅 歩24分   , 築18年 2階建 ,             2階,4.65万円,3600円,9.3万円,-,1DK,34.47m2
ピュアーズ０６　Ｂ,島根県出雲市斐川町併川, ＪＲ山陰本線/直江駅 歩24分   , 築18年 2階建 ,             2階,4.75万円,3600円,9.5万円,-,1DK,34.47m2
アリエッタ　III,島根県出雲市矢野町, 一畑電車大社線/遙堪駅 歩18分   , 築7年 2階建 ,             1階,5.05万円,3000円,-,5.05万円,2DK,50.29m2
アリエッタ　III,島根県出雲市矢野町, 一畑電車大社線/遙堪駅 歩18分   , 築7年 2階建 ,             2階,5.45万円,3000円,-,5.45万円,2LDK,61.45m2
アリエッタ　III,島根県出雲市矢野町, 一畑電車大社線/遙堪駅 歩18分   , 築7年 2階建 ,             2階,5.65万円,3000円,-,5.65万円,2LDK,61.45m2
シンプルガーデンＢ,島根県出雲市斐川町直江, ＪＲ山陰本線/直江駅 歩24分   , 築9年 2階建 ,             1階,5.55万円,2200円,-,5.55万円,2DK,50.33m2
シンプルガーデンＢ,島根県出雲市斐川町直江, ＪＲ山陰本線/直江駅 歩24分   , 築9年 2階建 ,             2階,5.85万円,2200円,-,5.85万円,2LDK,57.21m2
アルカンシエル　Ｂ,島根県出雲市斐川町荘原, ＪＲ山陰本線/荘原駅 歩20分   , 築12年 2階建 ,             1階,5.25万円,1700円,-,5.25万円,2DK,44.75m2
エパル,島根県出雲市下古志町, ＪＲ山陰本線/西出雲駅 歩20分   , 築7年 2階建 ,             1階,5.8万円,2500円,5.8万円,-,1LDK,43.23m2
